gen,operations,min,max,mean,std,timestamp
0,initialize,0.1135,0.1135,0.1135,0.0,2018-09-25 06:48:01.335027
1,add_convolution,0.1028,0.6254,0.31310000000000004,0.24672485484847279,2018-09-25 06:50:55.666500
2,do_nothing,0.0982,0.6254,0.39701,0.23778209541510906,2018-09-25 06:53:30.970550
3,alter_channel_number,0.1028,0.7398,0.41151,0.2524722259972372,2018-09-25 06:56:49.884970
4,do_nothing,0.1135,0.7398,0.48482000000000014,0.25095774465036924,2018-09-25 07:00:30.699885
5,do_nothing,0.098,0.7398,0.45326000000000005,0.28480212148086254,2018-09-25 07:06:16.004560
6,alter_filter_size,0.0958,0.7558,0.41383000000000003,0.30664345109589414,2018-09-25 07:11:21.970490
7,add_convolution,0.1135,0.7695,0.42385,0.311773598144551,2018-09-25 07:16:04.394257
8,add_convolution,0.6487,0.9559,0.8131699999999998,0.11349272267418871,2018-09-25 07:26:22.810138
9,alter_filter_size,0.8264,0.9728,0.9328999999999998,0.047449362482548385,2018-09-25 07:41:37.422708
10,alter_filter_size,0.6378,0.9783,0.89664,0.12223009613020844,2018-09-25 07:55:18.744483
11,alter_channel_number,0.6555,0.9825,0.9015399999999998,0.10644775432107607,2018-09-25 08:10:24.553694
12,do_nothing,0.4001,0.9825,0.85556,0.21301209918687725,2018-09-25 08:24:41.101872
13,do_nothing,0.4474,0.9825,0.8647600000000001,0.1716914977510525,2018-09-25 08:41:01.965153
14,alter_filter_size,0.4271,0.9873,0.8356399999999999,0.19794167928963344,2018-09-25 08:58:19.206863
15,do_nothing,0.4603,0.9873,0.9252900000000001,0.1556153427525697,2018-09-25 09:18:12.501771
16,alter_stride,0.6971,0.9911,0.9111499999999999,0.10578347933396941,2018-09-25 09:38:35.155332
17,do_nothing,0.4665,0.9911,0.8220000000000001,0.2260356476310759,2018-09-25 09:53:16.782869
18,do_nothing,0.9256,0.9911,0.9747200000000001,0.02317976703937404,2018-09-25 10:11:06.300358
19,do_nothing,0.4822,0.9911,0.8898900000000001,0.15715439828397987,2018-09-25 10:28:05.968299
20,alter_stride,0.7231,0.9916,0.92663,0.09768166716431487,2018-09-25 10:46:49.979054
21,do_nothing,0.4893,0.9916,0.92933,0.14769234949718965,2018-09-25 11:08:29.564876
22,do_nothing,0.7999,0.9916,0.9369999999999999,0.07054392957583414,2018-09-25 11:34:11.554844
23,do_nothing,0.4177,0.9916,0.9038299999999999,0.16972606782695532,2018-09-25 11:54:59.179721
24,alter_channel_number,0.5416,0.9922,0.9244700000000001,0.1399200918381626,2018-09-25 12:20:20.965054
25,do_nothing,0.5429,0.9922,0.9401200000000001,0.13260014932118322,2018-09-25 12:47:05.491386
26,do_nothing,0.7797,0.9922,0.9425399999999999,0.07921630135269019,2018-09-25 13:17:46.387529
27,do_nothing,0.7676,0.9922,0.9366399999999999,0.08402402275540127,2018-09-25 13:49:35.314174
28,alter_channel_number,0.7733,0.9933,0.9411999999999999,0.0852168997323896,2018-09-25 14:24:41.098062
29,do_nothing,0.8456,0.9933,0.9745299999999999,0.04323845626291547,2018-09-25 15:01:02.619844
30,do_nothing,0.7548,0.9933,0.94549,0.08605692825101324,2018-09-25 15:43:35.098664
